user_id,recommended_items
30774,2778525	1244196	1386412	657183	2791339	
30910,2024684	1342669	2117630	1465045	781759	
31318,2520574	1570022	497114	506115	2488684	
32111,2778525	1244196	1386412	657183	2791339	
32371,2778525	1244196	1386412	657183	2791339	
32434,478208	1864635	1283135	1594751	1636910	
33119,2778525	1244196	1386412	657183	2791339	
33317,1804721	460717	1382937	416241	1305514	
33492,2620827	2822835	848165	1933400	437245	
33552,2778525	1244196	1386412	657183	2791339	
33704,758125	410414	2122917	715107	1180883	
35125,790148	925751	921674	2031981	1020669	
35517,2778525	1244196	1386412	657183	2791339	
35752,1059979	1718887	1269484	18872	1103049	
36049,492635	1081457	2148574	1189723	399596	
36125,468367	2372090	2778525	1244196	1386412	
36396,2778525	1244196	1386412	657183	2791339	
36940,319530	266693	2745021	603593	2640781	
37187,2778525	1244196	1386412	657183	2791339	
37351,2688176	1453018	2187834	915330	923464	
38059,2282988	2013432	1857507	2079278	538669	
38189,2778525	1244196	1386412	657183	2791339	
38365,2778525	1244196	1386412	657183	2791339	
38481,2778525	1244196	1386412	657183	2791339	
38730,1554139	2086041	2705759	452334	2218230	
38944,1864233	1648278	2229825	2615784	327358	
39189,2778525	1244196	1386412	657183	2791339	
39773,2778525	1244196	1386412	657183	2791339	
39778,2388776	1246472	1411422	1100288	1557283	
40141,2778525	1244196	1386412	657183	2791339	
40180,439722	1381522	744459	164045	1173448	
40246,935718	1680363	275226	886884	1558170	
40468,2778525	1244196	1386412	657183	2791339	
41309,2778525	1244196	1386412	657183	2791339	
41345,2778525	1244196	1386412	657183	2791339	
41383,885695	1229112	313604	1098944	2681492	
41403,271680	26192	2778525	1244196	1386412	
41629,1448046	1794685	141176	615410	2226471	
41649,1095078	899546	252065	2057527	2807442	
42051,2506938	934577	30281	170089	371042	
42321,2778525	1244196	1386412	657183	2791339	
42617,2766686	604409	2268621	358534	1001431	
42912,2778525	1244196	1386412	657183	2791339	
43088,1041119	1538218	2318244	1791015	2234790	
43399,2119602	1640213	1095941	1714882	399306	
43444,2778525	1244196	1386412	657183	2791339	
44628,2754392	1764845	1402992	1924948	1187250	
46074,2778525	1244196	1386412	657183	2791339	
46106,2778525	1244196	1386412	657183	2791339	
46377,244777	107638	2771419	162125	2349636	
46391,1406238	1269685	257322	1857507	2460752	
46874,936742	198849	2289895	2650846	396527	
47353,81952	2096789	1193717	2440859	34611	
47387,747434	138422	951035	825857	617661	
47475,2257510	394344	1102456	2709576	2047174	
47662,2808334	2241130	273279	2362308	89558	
48463,2778525	1244196	1386412	657183	2791339	
48478,1053542	2516900	1526269	536047	972388	
48675,437971	432522	1784135	2037477	545846	
48789,2051097	2613699	2327186	490340	1299162	
49239,1779881	1132996	1905111	1801603	266412	
49334,2778525	1244196	1386412	657183	2791339	
49418,2085889	1119495	1832052	2429998	1187844	
49794,436637	1367732	2729738	2349198	1470201	
50754,2778525	1244196	1386412	657183	2791339	
50874,2778525	1244196	1386412	657183	2791339	
51289,996687	441872	712901	952978	2085139	
51380,2326256	725456	1193717	494929	78655	
51416,2284411	2540060	71347	700812	671359	
51445,1246472	948249	1907735	2574702	1921435	
51851,1208190	194241	505157	2728787	2069686	
52067,2778525	1244196	1386412	657183	2791339	
52207,880503	289131	1962463	190606	955477	
52730,1615124	863165	1964661	221840	95676	
52831,1165361	1576725	2047319	1242418	1920371	
53121,743890	2698468	2021391	31053	1238752	
53574,2811200	1258303	445302	972918	2574263	
53638,1044036	1679711	431318	770454	2472921	
53677,301671	758113	2354181	8439	1042804	
53760,2117541	1584843	2128544	2027015	121026	
53874,984924	1988160	1614907	1627875	1301554	
54382,129918	2409634	2744235	2559545	1634983	
55261,1419600	1793593	1199536	961921	2502244	
55358,1120901	2053679	2261203	1493311	1079971	
55450,2747710	2293928	300430	200976	2183636	
55534,2778525	1244196	1386412	657183	2791339	
56110,868361	750391	767563	2148901	1001431	
56216,30878	1238430	296295	2490294	1803686	
56227,2584268	85340	2049946	1295792	1474342	
56317,2778525	1244196	1386412	657183	2791339	
56439,1211336	2832662	384116	1967011	1472192	
57013,1025695	1301883	569889	2128544	245454	
58197,28114	240873	1924051	583078	1975777	
58250,12288	470263	2123317	1011848	2090639	
58548,429339	1804721	1145139	460717	1382937	
58600,2778525	1244196	1386412	657183	2791339	
58624,2778525	1244196	1386412	657183	2791339	
58695,1659908	2606173	1418725	36063	1619799	
58784,2778525	1244196	1386412	657183	2791339	
58798,2778525	1244196	1386412	657183	2791339	
58833,2326256	725456	1240029	1082898	494929	
59104,1367220	1589181	632512	516263	718226	
59135,2602013	1857507	2686638	955477	1120107	
59546,2695065	1472473	1392268	2518350	1485751	
59782,1724745	2471383	1058389	654546	199647	
59842,2584256	1897895	2041033	647105	1392268	
60155,937879	2141218	752123	2553038	57460	
60471,2089810	1096406	516103	1267056	789747	
60496,2778525	1244196	1386412	657183	2791339	
61016,2778525	1244196	1386412	657183	2791339	
61298,2778525	1244196	1386412	657183	2791339	
61873,2177739	2057931	162125	2080276	995871	
62808,1510306	1640855	570413	499178	2625619	
62908,410414	1141412	496893	1140869	2489959	
62914,2778525	1244196	1386412	657183	2791339	
63061,2778525	1244196	1386412	657183	2791339	
63163,2778525	1244196	1386412	657183	2791339	
63322,590897	946205	1242727	2535007	650475	
63597,142652	551111	75845	1106543	2117630	
63753,1677326	1889008	1413540	986844	1889042	
63872,2562177	597952	1439913	1052870	1177948	
64303,1181698	984924	715107	1364124	470426	
64930,437245	655715	536047	2002097	103079	
65592,1524884	2409634	2822465	278589	562035	
66592,2778525	1244196	1386412	657183	2791339	
66908,972918	2165430	1623663	306192	1169446	
67173,1173526	71091	1382986	2835086	2593306	
67354,4872	1867675	1155556	1961546	980988	
67659,550835	579292	1742166	2393488	316152	
67705,2261109	670600	194318	2156629	1492759	
67752,2778525	1244196	1386412	657183	2791339	
67939,275226	886884	2450180	156785	1436505	
69088,2778525	1244196	1386412	657183	2791339	
69418,2470550	2803304	2388635	445290	2198252	
69428,2441818	654639	527751	723096	390926	
69757,2778525	1244196	1386412	657183	2791339	
70134,1317915	536047	2791339	2419510	1076904	
70534,2778525	1244196	1386412	657183	2791339	
70547,1420570	1807180	1533906	2083377	2364874	
70649,1646403	410414	1993132	1038469	440417	
70855,2778525	1244196	1386412	657183	2791339	
71226,794156	1886939	462518	1274931	2024094	
72027,2038259	12263	1092821	620572	1565316	
72461,50457	415358	2089810	2446758	614700	
72570,2778525	1244196	1386412	657183	2791339	
73454,2778525	1244196	1386412	657183	2791339	
73471,91986	2414343	459760	1240029	33100	
73525,2754205	821134	1610267	2528720	1745801	
74032,2778525	1244196	1386412	657183	2791339	
74663,2778525	1244196	1386412	657183	2791339	
75611,2778525	1244196	1386412	657183	2791339	
76103,2778525	1244196	1386412	657183	2791339	
76608,2778525	1244196	1386412	657183	2791339	
76720,1336023	1602196	2024094	1033843	261467	
77440,2778525	1244196	1386412	657183	2791339	
77641,2767539	1301350	2587013	254698	494929	
77738,636889	2566411	2833963	882501	108497	
77942,2778525	1244196	1386412	657183	2791339	
77992,1564967	1518253	1850192	2096239	395605	
78016,2778525	1244196	1386412	657183	2791339	
78100,1730302	201772	1246890	677711	1993152	
78298,2778525	1244196	1386412	657183	2791339	
78784,2588441	1478894	1074013	837785	559839	
79349,1604573	1643381	1297289	541466	1382937	
79426,2073760	2828372	2512134	706736	2180823	
79738,2778525	1244196	1386412	657183	2791339	
79802,656507	2752423	221840	747500	1768848	
80026,2520574	788342	1418609	2289019	1042117	
80113,2778525	1244196	1386412	657183	2791339	
80743,1669934	2362416	740066	2823711	2616802	
80933,2057047	1768388	1447370	2511769	847094	
81213,2778525	1244196	1386412	657183	2791339	
81342,2778525	1496107	2344365	1520097	385708	
81375,2778525	1244196	1386412	657183	2791339	
82204,2063333	700387	2252759	1807932	746757	
82500,2143484	603577	992801	1262409	1009366	
82645,2604878	2113459	788342	526359	177825	
82778,853722	299061	536047	2725896	1040073	
82848,2778525	1244196	1386412	657183	2791339	
82953,1443706	2652417	407784	245454	1069584	
83200,767651	1593289	2582558	2027015	2827170	
83840,471718	66422	1904531	2811177	1438645	
84028,2517818	1975777	583078	951920	1522825	
84579,2778525	1244196	1386412	657183	2791339	
84814,2778525	1244196	1386412	657183	2791339	
84989,572617	1366236	2435097	302727	2141141	
85006,2728649	2115825	2109683	1477953	462518	
85011,1124313	220136	129847	437245	1316313	
85432,2079800	129524	678328	2524643	181792	
85921,266412	1126676	1732848	16356	2471510	
85958,2778525	1244196	1386412	657183	2791339	
85991,2778525	1244196	1386412	657183	2791339	
86194,115570	1660565	1202175	1305092	615348	
86285,2516900	768905	845794	1732848	81416	
86316,2118120	972388	1582734	1149263	1756972	
86856,2778525	1244196	1386412	657183	2791339	
87127,2778525	1244196	1386412	657183	2791339	
87569,1258303	979758	2574263	676162	1750840	
87622,1090310	472040	2084143	2633289	278589	
87629,2778525	1244196	1386412	657183	2791339	
88090,2352642	2393614	1117961	2677082	2425179	
88699,2778525	1244196	1386412	657183	2791339	
89595,2778525	1244196	1386412	657183	2791339	
89700,765652	226544	33197	1091513	1313448	
90134,2778525	1244196	1386412	657183	2791339	
90275,1244196	1550793	278589	723096	2037477	
90552,2778525	1244196	1386412	657183	2791339	
90609,2024684	633335	2752423	1556166	1754395	
90615,358411	245454	106083	1591624	1768848	
90733,1961725	723620	968865	231115	2150148	
91295,1948123	97350	560311	229607	609380	
92019,2455786	73857	865510	2742030	2646953	
92182,2778525	1244196	1386412	657183	2791339	
92343,1695664	2182715	1587725	1513499	2776360	
93312,2778525	1244196	1386412	657183	2791339	
93887,2778525	1244196	1386412	657183	2791339	
93930,2172825	1193551	493354	621104	951143	
94336,2778525	1244196	1386412	657183	2791339	
94417,1092821	1524884	2673740	2436920	1450832	
94548,2778525	1244196	1386412	657183	2791339	
94665,2826101	2415922	2574702	152305	1921435	
94805,2024684	1326591	391068	493460	2643594	
94918,2778525	1244196	1386412	657183	2791339	
94945,1817563	132983	2225169	1612436	269612	
95321,410414	1141412	496893	1140869	2489959	
95619,2778525	1244196	1386412	657183	2791339	
96109,1355647	1475452	578161	607608	2488684	
96164,2778525	1244196	1386412	657183	2791339	
96187,784737	358823	214968	322979	963009	
96756,2778525	1244196	1386412	657183	2791339	
97135,1325058	1153961	723777	430533	876529	
97204,2636107	644489	813562	2366001	1784399	
97375,2127719	70786	2719729	2491016	834755	
98005,2778525	1244196	1386412	657183	2791339	
98174,2778525	1244196	1386412	657183	2791339	
98287,755183	1173321	1717243	1473515	2752423	
98458,2521990	1636859	1325341	881158	1455644	
98716,2778525	1244196	1386412	657183	2791339	
99109,2778525	1244196	1386412	657183	2791339	
99155,2778525	1244196	1386412	657183	2791339	
99208,375853	2453690	1165605	2310385	1049796	
99598,2778525	1244196	1386412	657183	2791339	
99751,2121552	2085209	478208	1360302	2235909	
99972,2469440	1499162	2471467	467643	175992	
100399,2270467	1931543	151964	979223	1638643	
100521,2128544	1867675	2327186	2713642	770454	
100803,2031981	937049	152305	608914	418435	
101222,1365661	200065	1878938	374376	991836	
101236,1834588	294270	2551818	2234790	1096192	
101276,98	885657	1347927	79531	1380906	
101454,2778525	1244196	1386412	657183	2791339	
101666,2516900	996738	2593483	1946484	1832067	
101774,1696792	143817	2365168	200431	1809933	
101857,2778525	1244196	1386412	657183	2791339	
102002,2778525	1244196	1386412	657183	2791339	
102545,670541	2157027	2335481	506948	784932	
102885,330727	1293790	2491016	1432568	285205	
103027,2040236	2233514	1696122	1134495	1601025	
103310,278589	185962	353043	599962	296825	
103669,1091513	2459081	2481379	714060	1533382	
104001,569889	2128544	771175	548592	2048840	
104796,2428043	1792904	1270675	406129	848375	
104965,1729147	2027015	1125950	1566435	1112502	
106202,2778525	1244196	1386412	657183	2791339	
106391,2715741	1807180	1587291	337902	973448	
107447,1790865	312101	1125071	895087	2241315	
107528,2778525	1244196	1386412	657183	2791339	
107952,2778525	1244196	1386412	657183	2791339	
108109,1426983	2104098	2745021	543296	2778074	
108891,1306144	2814250	1042037	2704360	1620901	
108961,2778525	1244196	1386412	657183	2791339	
109308,1140869	2031981	218295	2431753	265291	
109548,595394	734196	1957614	951143	1473515	
109646,2778525	1244196	1386412	657183	2791339	
109809,1637441	2817897	414112	804376	612922	
110004,1573166	799322	2473621	2080276	1524219	
110221,2778525	1244196	1386412	657183	2791339	
110636,2778525	1244196	1386412	657183	2791339	
110951,2778525	1244196	1386412	657183	2791339	
111479,2778525	1244196	1386412	657183	2791339	
111602,2770369	345001	213839	1648491	1372882	
111836,414143	2038621	830362	887776	2407141	
113405,2778525	1244196	1386412	657183	2791339	
113510,238790	781759	343377	2197737	668899	
113784,2264344	2152106	453217	1755502	2230175	
113942,1857507	1173665	504257	2338560	1373407	
114764,2778525	1244196	1386412	657183	2791339	
115337,2778525	1244196	1386412	657183	2791339	
115389,2778525	1244196	1386412	657183	2791339	
115642,1804721	661157	2148839	258503	2701725	
115791,1287265	712300	2462072	278589	645837	
116228,1524884	1103049	1092821	715107	1928254	
116670,2820498	2236793	1651430	2001344	953215	
116847,1218780	2196917	1777889	1494602	2552842	
116871,463226	2096789	2165941	30878	2090350	
117095,1971715	2641962	1376433	2584256	215873	
117355,930736	790718	1151971	632026	2375978	
117952,1072942	1008509	1597885	2204165	2624257	
118118,1797064	2730930	443300	827711	2447968	
118326,2778525	1244196	1386412	657183	2791339	
118441,2778525	1244196	1386412	657183	2791339	
118743,295473	2319922	2670337	1873490	1947468	
119429,1165695	1212273	1119853	1522825	2087061	
119526,2778525	1244196	1386412	657183	2791339	
119952,2326256	1732727	1392485	1847967	1174707	
120436,1853051	1092821	536047	784737	1713884	
120617,374376	2710106	546956	2361302	2226165	
121169,2778525	1244196	1386412	657183	2791339	
121312,2778525	1244196	1386412	657183	2791339	
121482,2778525	1244196	1386412	657183	2791339	
121594,1956145	1099835	2490294	2418025	2166829	
121611,784737	1476432	2774733	278589	201247	
121662,1003954	455014	1443706	972388	1835742	
121757,830073	1247117	172929	265382	2117432	
122086,2778525	1244196	1386412	657183	2791339	
122087,2624257	853722	1370833	2280960	1273817	
122260,2778525	1244196	1386412	657183	2791339	
122394,2778525	1244196	1386412	657183	2791339	
122653,2778525	1244196	1386412	657183	2791339	
122688,2778525	1244196	1386412	657183	2791339	
122826,2778525	1244196	1386412	657183	2791339	
122862,2778525	1244196	1386412	657183	2791339	
123738,2778525	1244196	1386412	657183	2791339	
123936,1315172	2511002	128182	342812	410967	
124188,1396117	1768401	2441197	2060964	2310939	
124399,2778525	1244196	1386412	657183	2791339	
124663,1710153	145642	562493	1952969	1126937	
124833,2778525	1244196	1386412	657183	2791339	
125035,2778525	1244196	1386412	657183	2791339	
125163,237793	1902122	1398109	1426983	551111	
125183,1240596	2519983	2770160	1982016	457392	
125749,2778525	1244196	1386412	657183	2791339	
125921,1629604	1455644	261735	155459	258723	
126548,2778525	1244196	1386412	657183	2791339	
126643,686014	2174446	1227915	56715	184482	
126771,1122277	2622472	540654	1570549	472594	
127238,2778525	1244196	1386412	657183	2791339	
127260,1251864	2710106	2077189	952102	680630	
127289,2466095	347949	741103	1720793	1053542	
127607,314274	298067	349653	1438241	350614	
128258,463226	1225606	331291	1937463	2012589	
128444,30683	1706517	2802606	2509024	1725014	
128892,1472473	1487244	219154	917243	1023152	
129287,1069562	2750191	992801	1240596	2595020	
129582,2778525	2663412	1241609	536047	944039	
129765,2414343	2627291	1276302	30281	256095	
130419,2202478	1654128	1126500	439601	1537042	
131287,942253	75053	1732727	173950	698891	
131400,1599559	2444629	2766686	2483915	1368635	
131843,205039	2707152	448605	645837	626855	
131876,953263	840993	814584	614356	37106	
132162,2822465	1412552	516103	2097556	1137169	
132303,2387968	2767124	816048	277379	2168916	
132458,784737	1476432	2774733	278589	201247	
133042,2778525	1244196	1386412	657183	2791339	
133480,2009393	1359029	1604145	2622781	746757	
134993,2778525	1244196	1386412	657183	2791339	
135249,1731527	79531	1826078	919099	2778525	
135647,2808315	818118	1480869	117382	340716	
135701,2778525	1244196	1386412	657183	2791339	
135905,1610812	2639150	231348	1110667	2770021	
136018,1550605	2285978	838799	1836672	121026	
136346,2778525	1244196	1386412	657183	2791339	
136526,2778525	1244196	1386412	657183	2791339	
136595,1160495	1775397	1696122	1085517	136573	
136741,2778525	1244196	1386412	657183	2791339	
136883,2778525	1244196	1386412	657183	2791339	
137168,2778525	1244196	1386412	657183	2791339	
137251,2778525	1244196	1386412	657183	2791339	
137295,258349	2767091	2831911	65610	965827	
137522,779190	1384188	2752423	1352670	1189146	
137940,2778525	1244196	1386412	657183	2791339	
138017,2295473	1131560	2609190	2461379	603719	
138722,205039	1175568	2825484	378848	2584429	
138977,2778525	1244196	1386412	657183	2791339	
138982,1522825	245454	1768848	1262371	1443706	
139306,2225560	1775761	2005414	1385441	1238924	
139725,115570	2559923	1350893	430992	2092877	
139968,2574307	1499394	2148901	536047	2194432	
140225,2778525	1244196	1386412	657183	2791339	
140830,10571	9054	1623663	2468829	767563	
141431,2778525	1244196	1386412	657183	2791339	
141434,1426983	1245551	1877427	2745021	356237	
141654,1241389	1760132	1485751	163684	1228633	
141923,562914	2415922	2822479	1499394	1695664	
142537,2778525	1244196	1386412	657183	2791339	
142751,91611	1287265	119830	1538718	632873	
142825,2778525	1244196	1386412	657183	2791339	
142969,1195879	1956145	611837	739168	447985	
143178,2778525	1244196	1386412	657183	2791339	
143537,447985	383065	1273011	1421084	1828238	
144144,1382937	2766686	657183	2777133	2062952	
144191,2778525	1244196	1386412	657183	2791339	
144636,2778525	1244196	1386412	657183	2791339	
144643,2113459	2506235	2396877	784737	536047	
144750,398214	1508399	1855605	1557537	2808600	
145381,536047	599025	2342153	2594163	862860	
145533,2651077	1881055	604254	1510598	920269	
145734,1073070	1072942	1183354	335918	1460626	
145853,2116470	2447599	1825038	2313894	559121	
146193,2778525	1244196	1386412	657183	2791339	
146199,546461	2650958	1196551	1838170	1320638	
146286,2778525	1244196	1386412	657183	2791339	
147516,107638	1712984	68863	2606234	372938	
147664,2115825	1684123	2123063	877388	871847	
148342,2564608	1293790	418435	1526114	49789	
148749,2018166	2770468	2362308	1663821	1729147	
148981,2047542	1736695	2282793	1683386	1126937	
149198,2778525	1244196	1386412	657183	2791339	
149616,2778525	1244196	1386412	657183	2791339	
150039,984924	2778525	67174	1606242	1477734	
150057,254011	2226505	2415922	1438328	1624610	
150611,2778525	1244196	1386412	657183	2791339	
150721,2778525	1244196	1386412	657183	2791339	
150852,2672708	2619522	1911499	884199	1848140	
150854,2255733	2520574	1316860	467643	1627875	
150858,1711511	1784135	2232446	1045268	1113937	
150949,997790	2183288	1827749	1396688	2218464	
150980,2405262	546415	1462204	953591	2205815	
151024,256095	1328711	620572	2788139	880575	
151528,494504	1937571	96802	2779959	1447370	
151666,2778525	1244196	1386412	657183	2791339	
151707,459719	938375	1503882	2421624	569761	
152067,309333	843291	1841756	605698	2491392	
152831,1953846	478799	1264432	1297941	1199807	
153486,1090902	1264055	604432	2284411	30281	
153970,734196	881431	1226379	657183	595394	
154279,693655	2696956	2511769	1550605	219486	
154525,1550605	1804721	723777	671359	162125	
154692,650000	1227036	2414678	2277294	560740	
155196,2410463	2314101	2729468	2121393	2778525	
155704,416609	257339	2204352	72040	1195890	
155734,2778525	1244196	1386412	657183	2791339	
155750,515119	1187046	1180381	408842	2618175	
156207,144129	1554139	2018960	1222303	1596769	
156682,307238	604254	1106543	1244196	660035	
156731,1829050	1633706	124474	1386412	2289094	
156890,2778525	1244196	1386412	657183	2791339	
157018,2502244	2782015	1816811	2203533	1450244	
157347,2226505	1438328	1695664	1830993	1627329	
157372,238790	2413494	781759	494929	343377	
157411,2170079	1242418	1668298	1732529	1017553	
157436,1403266	2026193	2478168	2342287	1510598	
158275,2778525	1244196	1386412	657183	2791339	
158445,2778525	1244196	1386412	657183	2791339	
158466,2778525	1244196	1386412	657183	2791339	
158759,2656338	1372681	1495013	2101479	228005	
158786,2037855	1392485	461551	243727	915203	
158919,2778525	1244196	1386412	657183	2791339	
158944,2778525	1244196	1386412	657183	2791339	
159617,1706622	598958	1290786	1130730	947818	
159701,2233514	579292	1398399	2251936	750304	
159921,538669	2593483	1727450	1809971	2004685	
160502,2778525	1244196	1386412	657183	2791339	
160533,2778525	1244196	1386412	657183	2791339	
160623,2778525	1244196	1386412	657183	2791339	
161242,1324039	712300	587796	74727	1492328	
161521,2037855	1964661	483205	1443706	2490891	
161612,2771419	1031178	1943650	107638	364509	
161662,2778525	1244196	1386412	657183	2791339	
162063,668146	465818	799322	1364124	2811370	
162457,777282	1568572	459760	74389	2163770	
162510,926632	1696629	1189793	1850794	2482137	
162529,256095	2788139	1186573	863312	1719555	
162564,2778525	1244196	1386412	657183	2791339	
162646,2450694	463226	2287883	846976	563902	
164126,2778525	1244196	1386412	657183	2791339	
164502,2778525	1244196	1386412	657183	2791339	
165095,2037855	81416	422888	1602405	2233273	
166047,2778525	1244196	1386412	657183	2791339	
166280,1025695	2545674	1301883	2128544	1450244	
166546,74727	2126253	2751394	1090310	129847	
166998,1316313	1661794	1728166	688457	2109298	
167169,1563176	2522661	892368	1487074	1439913	
167292,194241	1455644	505157	1900183	2559545	
167793,2213651	2594614	1364519	2641820	1611974	
167910,2825431	2128544	760925	1867675	1426750	
168003,810659	907469	161407	2636095	828514	
168241,1624781	2484110	2088824	2282914	214968	
168452,1390810	129524	109603	1548072	2091201	
168573,295459	1472220	426955	1244196	2124935	
168880,2778525	1244196	1386412	657183	2791339	
168971,2778525	1244196	1386412	657183	2791339	
169437,2140940	2148839	2445199	332672	2097556	
169786,2778525	1244196	1386412	657183	2791339	
170008,624264	2438615	2703849	437245	817926	
170333,2646373	2463631	206968	718370	128834	
170601,1212118	2031981	1957614	2380491	2418025	
170611,2462072	873602	815929	584519	1834826	
170666,2778525	1244196	1386412	657183	2791339	
171078,2778525	1244196	1386412	657183	2791339	
171152,2778525	1244196	1386412	657183	2791339	
171375,1543175	868804	2534752	262871	1189193	
171516,1548201	668899	1671183	1695195	2280960	
172325,1713185	193483	1183354	2544454	1715821	
172413,1366696	1044446	1548055	2433665	1065749	
172636,321072	2624381	235233	2305047	828659	
173125,610011	1891459	798747	2778525	2751394	
173245,2778525	1244196	1386412	657183	2791339	
173555,1877427	72040	640407	79531	738550	
174181,1730667	26945	987737	1619526	1043221	
174608,2210530	925176	1990810	2380717	636258	
174882,2778525	1244196	1386412	657183	2791339	
175027,2778525	1244196	1386412	657183	2791339	
175162,2778525	1244196	1386412	657183	2791339	
175344,1082550	315406	391954	507069	2165626	
175369,2778525	1244196	1386412	657183	2791339	
175546,933025	546415	2714807	1717731	2277810	
175644,2438615	2469440	2340784	2049946	1975777	
175696,1376234	2533314	816307	2031674	453182	
176268,2778525	1244196	1386412	657183	2791339	
176638,2778525	1244196	1386412	657183	2791339	
177089,2778525	1244196	1386412	657183	2791339	
